,qf1,qf2,qf3_1,qf3_3,qf3_4,qf3_6,qf3_7,qf3_8,qf4,qf8,qf9_4,qf9_5,qf9_6,qprod1c_1,qprod1c_2,qprod1c_10,qprod1c_11,qprod1c_12,qprod1c_3,qprod1c_5,qprod1c_6,qprod1c_14,qprod1c_7,qprod1c_8,qprod2,qprod3_2,qprod3_4,qprod3_8,qprod3_9,qprod3_10,qprod3_11,qprod3_17,qf10_1,qf10_2,qf10_3,qf10_4,qf10_5,qf10_6,qf10_7,qf10_8,qf10_9,qf10_10,qf10_11,qf10_12,qk1,qf11,qf12_1_a,qf12_1_b,qf12_2_d,qf12_3_e,qf12_3_f,qf12_4_l,qf12_6_q,qf13,qd1,qd7,qd9,qd10,AREA5,defrauded,qf9_2_3,qf9_7_8,qf9_1_9,qprod3_1_16,qprod3_3_6,qprod3_5_7_12_14,qprod3_13_15,qf12_1c_3g,qf12_4k_5m_5o_6p,fin_knowledge_score,Debtor,Perc_Fin_Lit,Saver_Spender,Planner_Easygoer,Fin_Products_Experience,Fin_Indipendence,Approach_Digitalised
1298,-99,0,0,0,0,0,0,1,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,1,5,1,5,1,-99,5,1,1,1,5,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,4,5,10,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1,5.5,-1.0,-1.25,-1.25,0.0,-1.0,-0.0
1299,2,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5,5,5,1,3,5,1,1,1,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2,3,4,5,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,6.0,-3.0,-1.75,-2.75,0.4,0.0,-1.0
1300,2,0,0,0,0,1,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5,1,1,5,1,1,2,4,4,5,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,5,3,6,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,-5.0,1.0,1.1,5.0,2.9,0.5,-0.2
1301,2,1,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,3,2,5,3,2,2,3,4,4,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,3,5,2,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7,-2.5,0.25,3.8499999999999996,4.75,1.1,1.0,0.0
1302,3,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,3,4,3,5,5,5,4,1,1,3,5,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,9,3,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2,1.0,-2.0,-1.25,-4.25,0.0,-1.0,-0.0
1303,2,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,4,5,3,3,2,2,4,3,2,3,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,2,5,0,1,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,5,0.25,-1.0,4.85,4.75,0.5,-1.0,-0.0
1304,2,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,4,4,4,4,3,3,4,4,4,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0,3,3,2,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,1.0,4,3.25,-1.0,2.5,3.0,0.5,0.0,-0.0
1305,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,2,3,2,5,3,4,3,2,2,3,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,4,3,2,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,5,0.25,-1.0,-1.9,-3.0,0.0,-1.0,-0.0
1306,2,0,0,0,0,0,0,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,2,2,1,5,2,4,1,1,1,3,5,-99,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-99,0,4,5,5,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2,1.5,-0.25,-6.0,-2.5,0.0,0.0,-0.0
1307,2,0,1,1,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4,4,1,4,3,2,4,3,2,5,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,1,2,5,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,5,-4.25,-1.0,6.85,4.25,1.5,1.0,-1.7
